ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40016244,PR-00005054,"Greater Hume Children Services Walla Walla","Greater Hume Shire Council","Centre-Based Care","80 Commercial St","WALLA WALLA",NSW,2659,0436818242,,,38,12/09/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2020",,"August 2026",Yes,No,No,Yes,Yes,No,No,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,07:30,09:00,07:30,09:00,07:30,09:00,07:30,09:00,07:30,09:00,,,,,15:15,17:30,15:15,17:30,15:15,17:30,15:15,17:30,15:15,17:30,,,,,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,No
SE-40016251,PR-40019397,"Little Lane ELC Manly","Little Lane Early Learning Manly Pty Ltd","Centre-Based Care","239 Pittwater Rd",MANLY,NSW,2095,0291709812,,,186,28/01/2020,"Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jul 2024","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jul 2022",,"April 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016255,PR-00005478,"Bright Sparks Early Learning","Glenory Pty Ltd","Centre-Based Care","33 Winton St",APPIN,NSW,2560,"02 4631 1591",,,51,20/09/2019,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Mar 2021",,,,,,,,,,,"August 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016257,PR-00003428,"Uniting Outside School Hours Care North Parramatta","The Uniting Church In Australia Property Trust (NSW)","Centre-Based Care","Parramatta North Public School, 28 Albert St","NORTH PARRAMATTA",NSW,2151,0478202310,,,70,09/10/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2021",,"February 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40016258,PR-40029747,"Little Shining Stars Early Learning Centre Evanston","RP EDUCATION PTY LTD","Centre-Based Care","Lot 10  Kendall St",EVANSTON,SA,5116,0885225513,,,75,23/01/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2024",,,,,,,,,,11/11/2022,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016261,PR-40018590,"Dido Street Early Learning Centre","Dido Street Early Learning Centre Pty Ltd","Centre-Based Care","4 Dido St",KIAMA,NSW,2533,0242323641,,,39,07/01/2020,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","May 2021",,,,,,,,,,,"March 2026",Yes,No,No,No,No,No,No,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016263,PR-40019550,"Kuranda OSHC","KURANDA DISTRICT STATE COLLEGE P&C ASSOCIATION","Centre-Based Care","260 Myola Rd",KURANDA,QLD,4881,0448939699,,"This service is approved to provide education and care to children from over preschool age up to and including school children, before school, after school and during school holidays In addition to the prescribed information required to be displayed under section 172 of the Education and Care Services National Law and regulation 173 of the Education and Care Services National Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces on the school site approved by the school for use by the education and care service. This map is to be positioned so that is clearly visible to anyone from the main entrance to the education and care service premises.",20,23/01/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023",,,,,,,,,,,"February 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40016267,PR-40020175,"Harmony Early Education Corinda","HARMONY CORINDA PTY LTD","Centre-Based Care","9 Donaldson Street",CORINDA,QLD,4075,0731441632,,"As part of the requirement to conduct emergency and evacuation procedures rehearsals in accordance with regulation 97(3) of the Education and Care Services National Regulations, the approved provider must engage an appropriate expert such as a person/entity holding a Queensland Building and Construction Commission licence in emergency procedures, a fire safety advisor or fire safety engineer to observe and report on one rehearsal by 30 November of each year. The service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The mirrors, CCTV and monitors installed at the service are constantly maintained and operational to ensure the facilitation of supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",92,11/10/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2021",,"March 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40016268,PR-40003123,"Beach Road Child Care Centre","BEACHROAD CHILD CARE CENTRE PTY LTD","Centre-Based Care","Fraser Shores Shopping Plaza P/L, 79 Boat Harbour Drive Pialba",PIALBA,QLD,4655,0741241919,0741244561,"This service is approved to provide education and care to children from birth up to and including school children which may include a maximum of 15 school children.",75,03/12/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2021",,,,,,,,,,,"July 2026",Yes,No,No,Yes,Yes,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016269,PR-40014071,"Edge Early Learning Kelvin Grove","Edge Early Learning Kelvin Grove Pty Ltd","Centre-Based Care","227 Kelvin Grove Road","KELVIN GROVE",QLD,4059,0735560465,,"A copy of the annual evacuation outcome report, including any recommendations for actioning is to be supplied to the Regional Office of the Regulatory Authority in which the service is located within 7 days upon receipt of the report by the Approved Provider from the licensed organisation.  This service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The Approved Provider must not educate and care for more than 24 non-ambulant infants at any one time and the non-ambulant infants must be educated and cared for only on the Lower Ground level. The Approved Provider must ensure at least one additional staff member, in addition to the number required to meet the educator to child ratios, must be available at all times education and care is provided to undertake the Chief Warden role and responsibilities for any emergency and evacuation.  The Approved Provider must ensure that no outdoor play equipment is placed within one metre of the perimeter fencing of any children's outdoor play space.   Plants and vegetation located along or near the boundary fencing of the children’s outdoor play area located on the basement level are to be monitored by the Approved Provider regularly and any unacceptable risks posed by potential climbing hazards must be addressed immediately by the Approved Provider.  The Approved Provider must ensure that the mirrors, CCTV and monitors installed at the service are constantly maintained and operational to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. As part of the requirement to conduct three (3) monthly emergency and evacuation procedures rehearsals in accordance with regulation 97(3) of the National Regulations, the Approved Provider must engage an appropriate expert such as a person/service provider in emergency procedures, a fire safety advisor or fire safety engineer to observe and report on one rehearsal (including any proposed actions to improve evacuation procedures) at least annually by the end of November.  It is a condition of the service waiver that the service must comply with regulation 110 of the Education and Care Services National Regulations in relation to the enclosed outdoor space. It is a condition of the service waiver that the service must comply with regulation 113 of the Education and Care Services National Regulations in relation to the enclosed outdoor space.",132,01/09/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2021",,"July 2026",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016272,PR-40013706,"Edge Early Learning Nundah","Edge Early Learning Nundah Pty Ltd","Centre-Based Care","254 Buckland Rd",NUNDAH,QLD,4012,0735560464,,"This service is approved to provide education and care to children from birth up to and including over preschool age.  This service is not approved to provide education and care to school children.  The mirrors and walkie talkies in use at the service are constantly maintained and operational to ensure the facilitation of supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",83,11/12/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2023","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Apr 2021",,"September 2025",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016273,PR-40017776,"Edge Early Learning North Harbour","Edge Early Learning North Harbour Pty Ltd","Centre-Based Care","Cnr Buckley Road and Fraser Drive","BURPENGARY EAST",QLD,4505,0735560467,,"The service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The mirrors installed at the service are constantly maintained and operational to ensure the facilitation of supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",120,20/03/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2021",,"April 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016277,PR-40016455,"St Mary's Outside School Hours Care Warwick","The Corporation of the Roman Catholic Diocese of Toowoomba - Early Learning & Care","Centre-Based Care","175 Palmerin Street",WARWICK,QLD,4370,0437921240,,"In addition to the prescribed information required to be displayed under section 172 of the Education and Care Services National Law and regulation 173 of the Education and Care Services National Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces on the school site approved by the school for use by the education and care service. This map is to be positioned so that is clearly visible to anyone from the main entrance to the education and care service premises This service is approved to provide education and care primarily to children over preschool age before school, after school and during school holidays At least 51% of children being provided education and care at the service must be over preschool age The maximum number of children to be provided with education and care is 45",45,30/08/2019,"Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","May 2024",,,,,,,,,,01/01/2020,"March 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:00,08:30,06:00,08:30,06:00,08:30,06:00,08:30,06:00,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,No
SE-40016280,PR-40019797,"Una Sippy Downs","UNA Licence PTY LTD","Centre-Based Care","38 Central Drive","SIPPY DOWNS",QLD,4556,0753578949,,"This service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The Approved Provider must ensure that the mirrors installed at the service are constantly maintained and operational to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",105,16/12/2020,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Jul 2022",,,,,,,,,,,"August 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016281,PR-40026948,"Nido Early School Treeby","NEST EARLY EDUCATION SERVICES PTY LTD","Centre-Based Care","101 CLEMENTINE BVD",TREEBY,WA,6164,0861175045,,,96,23/08/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2022",,,,,,,,,,27/10/2023,"August 2026",Yes,No,No,No,No,No,Yes,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016282,PR-40026948,"Nido Early School Kingsway","NEST EARLY EDUCATION SERVICES PTY LTD","Centre-Based Care","Kingsway City Shopping Centre, 168-182 Wanneroo Rd",MADELEY,WA,6065,"08 6117 5099",,,82,15/08/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2021",,,,,,,,,,28/10/2023,"September 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016284,PR-40032954,"Learning Blocks","LAUGH AND GROW ACADEMY PTY LTD","Centre-Based Care","242 New Line Rd",DURAL,NSW,2158,0280440666,,,79,31/10/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2021",,,,,,,,,,04/11/2024,"May 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016289,PR-40011145,"Eastwood PS TheirCare","TheirCare Pty Ltd","Centre-Based Care","49 Alexandra Rd","RINGWOOD EAST",VIC,3135,1300072410,,,75,28/06/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2021",,"July 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40016293,PR-40027595,"Edge Early Learning Royal Park","EDGE EARLY LEARNING SOUTH AUSTRALIA PTY LTD","Centre-Based Care","162-168 Tapleys Hill Rd","ROYAL PARK",SA,5014,0883175383,,"The approved provider notify the Regulatory Authority within 14 days if the waiver is no longer required. 6:30AM ACST on Monday 15 June 2026 until 6:30PM ACST on Friday 31 July 2026, the following condition will be imposed on the service’s approval:
3.	The service must conduct and digitally record headcounts every 30 minutes. The service’s Nominated Supervisor or Assistant Director must undertake a weekly audit of headcounts that includes:
•	The total number of headcounts recorded.
•	The total number of headcounts that exceeded 30 minutes.
•	Records of any supervision near misses.
•	Risk mitigations, or actions taken as a result of the audit findings. From 6:30AM on Monday 9 February 2026 until a date determined by the Regulatory Authority, the service must not provide education and care to more than 80 children at a time. From 6:30AM on Monday 9 February 2026 until a date determined by the Regulatory Authority, the service’s Nominated Supervisor and Assistant Director are excluded from ratio calculations and must operate in a non-contact capacity.",130,29/08/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2021",,,,,,,,,,06/05/2022,"October 2025",Yes,No,No,Yes,Yes,Yes,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016296,PR-40001637,"Next step childcare","Larjane Pty Ltd","Centre-Based Care","7 Bronzewing St",TAHMOOR,NSW,2573,0246011211,,,152,01/11/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2023","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Nov 2021",,"June 2026",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,No
SE-40016297,PR-40022356,"SCECS OSHC Holy Spirit Carnes Hill","SYDNEY CATHOLIC EARLY CHILDHOOD SERVICES LTD","Centre-Based Care","25 Main St","CARNES HILL",NSW,2171,0295688628,,,160,18/09/2019,"Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jun 2026","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2020",12/10/2020,"March 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40016300,PR-00000838,"Papilio Early Learning Lutwyche","BHL Childcare Pty Ltd","Centre-Based Care","Level 1, 543 Lutwyche Road",LUTWYCHE,QLD,4030,0733572922,," As part of the requirement to conduct three (3) monthly emergency and evacuation procedures rehearsals in accordance with regulation 97(3) of the National Regulations, the Approved Provider must engage an appropriate expert such as a person/service provider in emergency procedures, a fire safety advisor or fire safety engineer to observe and report on one rehearsal (including any proposed actions to improve evacuation procedures) at least annually by the end of November. The service is approved to provide education and care to children from  birth up to and including over preschool age. The mirrors installed at the service are constantly maintained and operational to ensure the facilitation of supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. At least two (2) additional staff members for each nursery group of up to twelve (12) children that is in operation at the service, in addition to the number required to meet the educator to child ratios, must be available at all times and assist in evacuating children during rehearsals and in the event of an emergency. The service is not approved to provide education and care to school children. An adequate amount of healthy live plants in a variety of species and sizes is maintained at all times, in the children’s outdoor play areas across the service premises, ensuring children are afforded opportunities to explore and experience the features of a natural environment as required under Regulation 113 of the Education and Care Services National Regulations. A copy of the annual evacuation outcome report, including any recommendations for actioning, is to be supplied to the Regional Office of the Regulatory Authority in which the service is located within seven (7) days upon receipt of the report by the Approved Provider.",109,15/11/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2021",,"October 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016324,PR-40001112,"Little Beginnings at Maryville","Affinity Education Group Pty Limited","Centre-Based Care","65 The Avenue",MARYVILLE,NSW,2293,0272555178,,,71,28/08/2019,"Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2024","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2021",09/12/2024,"July 2026",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016339,PR-40012833,"Launchpad Early Learning Centre","Edukids Enterprises Pty Ltd","Centre-Based Care","150 Main Rd","LOWER PLENTY",VIC,3093,0384183999,,,124,27/12/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2021",29/06/2026,"June 2025",Yes,No,No,No,No,No,Yes,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016340,PR-40022356,"SCECS OSHC Our Lady Star of the Sea Miranda","SYDNEY CATHOLIC EARLY CHILDHOOD SERVICES LTD","Centre-Based Care","44-50 Kiora Rd",MIRANDA,NSW,2228,"02 9568 8628",,,86,19/09/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2021",12/10/2020,"February 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40016345,PR-00007354,"Bimbi Early Learning Centre","Invision Holdings Pty Ltd atf The Asilo Family Trust","Centre-Based Care","67 Makybe Rise",BALDIVIS,WA,6171,0895001031,,,72,19/11/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2022",,,,,,,,,,,"August 2025",Yes,No,Yes,Yes,Yes,Yes,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40016347,PR-40021679,"Ambrose School Age Care, Our Lady of the Nativity, Lawson","CATHOLIC DIOCESE OF PARRAMATTA SERVICES LTD","Centre-Based Care","Our Lady of Nativity Primary School, 7 Somers St",LAWSON,NSW,2783,0400278246,,,45,22/11/2019,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2021",23/12/2020,"May 2026",No,No,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,,,,,,,,,,,,,,,No
